strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strInstructions
Coffee-Vodka,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Collins Glass,Water,2 cups ,Sugar,2 cups white ,Coffee,1/2 cup instant ,Vanilla,2-Jan,Vodka,1 1/2 cup ,Caramel coloring,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product."
Coke and Drops,Non alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Cocktail glass,Coca-Cola,1 dl ,Lemon juice,7 drops ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass."
Cosmopolitan,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Cocktail glass,Absolut Citron,1 1/4 oz ,Lime juice,1/4 oz ,Cointreau,1/4 oz ,Cranberry juice,1/4 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
Cosmopolitan Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,Cocktail Glass,Cointreau,1/2 oz ,Vodka,1 oz ,Lime,Juice of 1/2 ,Cranberry juice,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass."
Cranberry Cordial,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg,Collins Glass,Cranberries,1/2 kg chopped ,Sugar,3/4 L ,Light rum,1/2 L ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks."
Cranberry Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,Punch Bowl,Cranberry juice,4 cups ,Sugar,1 1/2 cup ,Pineapple juice,4 cups ,Almond flavoring,1 tblsp ,Ginger ale,2 qt ,, ,, ,, ,, ,, ,,,,,,,,,,,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold."
Cream Soda,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Highball glass,Spiced rum,1 oz ,Ginger ale,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
Creme de Menthe,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Collins Glass,Sugar,8 cups ,Water,6 cups ,Grain alcohol,1 pint ,Peppermint extract,1 oz pure ,Food coloring,1 tblsp green ,, ,, ,, ,, ,, ,,,,,,,,,,,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.
Cuba Libra,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Highball glass,Dark rum,1-2 shot ,Lime,Squeeze ,Coca-Cola,Fill with ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!
Cuba Libre,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Highball glass,Light rum,2 oz ,Lime,Juice of 1/2 ,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.
Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg,Cocktail glass,Light rum,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Damned if you do,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,Shot glass,Whiskey,0.75 oz ,Hot Damn,0.25 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour into shot glass. Put in mouth. Repeat as deemed necessary.
Danbooka,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,Coffee Mug,Coffee,3 parts ,Everclear,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,pour it in and mix it.
Dark Caipirinha,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,Highball glass,demerara Sugar,2 tsp ,Lime,1,Cachaca,2 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
Dark and Stormy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,Highball glass,Dark Rum,5 cl,Ginger Beer,10 cl,,,,,,,, ,, ,,,,,,,,,,,,,,,,,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.
Darkwood Sling,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,Cocktail glass,Cherry Heering,1 part ,Soda water,1 part ,Orange juice,1 part ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes."
Derby,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/i502ra1504349156.jpg,Cocktail glass,gin,6 cl,Peach Bitters,2 dashes,Mint,2 Fresh leaves,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.
Diesel,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,Pint glass,Lager,1/2 pint ,Cider,1/2 pint ,Blackcurrant cordial,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.
Dirty Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Cocktail glass,Vodka,70ml/2fl oz,Dry Vermouth,1 tbsp,Olive Brine,2 tbsp,Lemon,1 wedge,Olive,1,,,,,,,,,,,,,,,,,,,,,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
Dirty Nipple,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,Shot glass,Kahlua,"
",Sambuca,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,,This is a layered shot - the Bailey's must be on top
Downshift,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,Hurricane glass,Fruit punch,2 part ,Sprite,1 part ,Tequila,2 shots ,151 proof rum,Float Bacardi ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional."
Dragonfly,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lnvbip1504389100.jpg,Highball glass,Gin,1 1/2 oz ,Ginger ale,4 oz ,Lime,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge."
Drinking Chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,Coffee mug,Heavy cream,2 oz ,Milk,6-8 oz ,Cinnamon,1 stick ,Vanilla,1,Chocolate,2 oz finely chopped dark ,Whipped cream,Fresh ,, ,, ,, ,, ,, ,,,,,,,,,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug."
Dry Rob Roy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,Cocktail glass,Scotch,2 1/2 oz ,Dry Vermouth,1 1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
Dubonnet Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xxsuwr1439457147.jpg,Cocktail glass,Dubonnet Rouge,1 1/2 oz ,Gin,3/4 oz ,Bitters,1 dash ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Duchamp's Punch,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,Old-fashioned glass,Pisco,5 cl,Lime Juice,2.5 cl,Pineapple Syrup,2.5 cl,St. Germain,1.5 cl,Angostura Bitters,2 Dashes,Pepper,Pinch,Lavender,2 sprigs,,,,,,,,,,,,,,,,,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
Egg Cream,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,Coffee mug,Chocolate syrup,2 tblsp ,Milk,6 oz whole ,Soda water,6 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
Egg Nog #4,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,Punch bowl,Egg yolk,6,Sugar,1/4 cup ,Milk,2 cups ,Light rum,1/2 cup ,Bourbon,1/2 cup ,Vanilla extract,1 tsp ,Salt,1/4 tsp ,Whipping cream,1 cup ,Egg white,6,Sugar,1/4 cup ,Nutmeg,Ground ,, ,, ,, ,, ,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
Egg Nog - Healthy,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,Collins Glass,Egg,1/2 cup ,Sugar,3 tblsp ,Condensed milk,13 oz skimmed ,Milk,3/4 cup skimmed ,Vanilla extract,1 tsp ,Rum,1 tsp ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
Egg-Nog - Classic Cooked,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,Pitcher,Egg,6,Sugar,1/4 cup ,Salt,1/4 tsp ,Milk,1 qt ,Vanilla extract,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
English Highball,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,Highball glass,Brandy,3/4 oz ,Gin,3/4 oz ,Sweet Vermouth,3/4 oz ,Carbonated water,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
English Rose Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,Cocktail glass,Apricot brandy,3/4 oz ,Gin,1 1/2 oz ,Dry Vermouth,3/4 oz ,Grenadine,1 tsp ,Lemon juice,1/4 tsp ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.
Espresso Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,Cocktail glass,Vodka,5 cl,Kahlua,1 cl,Sugar syrup,1 dash,,,,,,,,,,,,,,,,,,,,,,,,,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
Fahrenheit 5000,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,Shot glass,Firewater,1/2 oz ,Absolut Peppar,1/2 oz ,Tabasco sauce,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
Flaming Dr. Pepper,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,Collins Glass,Amaretto,1 oz ,Vodka,1 oz ,151 proof rum,1 oz Bacardi ,Dr. Pepper,1 oz ,Beer,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
Flaming Lamborghini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,Cocktail glass,Kahlua,1 oz ,Sambuca,1 oz ,Blue Curacao,1 oz ,Bailey's irish cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
Flander's Flake-Out,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,Collins Glass,Sambuca,1/4 glass ,Sarsaparilla,3/4 glass ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Bang 'em both in.
Flying Dutchman,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/akik8t1504519958.jpg,Old-fashioned glass,Gin,2 oz ,Triple sec,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
Flying Scotchman,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/glgrix1504520040.jpg,Cocktail glass,Scotch,1 oz ,Sweet Vermouth,1 oz ,Bitters,1 dash ,Sugar syrup,1/4 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Foxy Lady,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,Cocktail glass,Amaretto,1/2 oz ,Creme de Cacao,1/2 oz ,Light cream,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
Frappé,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,Highball Glass,Coffee,1/2 cup black ,Milk,1/2 cup ,Sugar,1-2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
Freddy Kruger,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,Shot glass,Jägermeister,1/2 oz ,Sambuca,1/2 oz ,Vodka,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,make it an ample size shot!!
"French ""75""",Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qpvxsx1439906903.jpg,Collins glass,Gin,1 1/2 oz ,Sugar,2 tsp superfine ,Lemon juice,1 1/2 oz ,Champagne,4 oz Chilled ,Orange,1,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,"In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry."
French 75,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg,Collins glass,Gin,1 1/2 oz ,Sugar,2 tsp superfine ,Lemon juice,1 1/2 oz ,Champagne,4 oz Chilled ,Orange,1,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
French Connection,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,Old-fashioned glass,Cognac,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
French Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,Cocktail glass,Vodka,4.5 cl,Raspberry Liqueur,1.5 cl,pineapple juice,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
Frisco Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/y39l941504884150.jpg,Whiskey sour glass,Blended whiskey,2 oz ,Benedictine,1/2 oz ,Lemon,Juice of 1/4 ,Lime,Juice of 1/2 ,Lemon,1 slice ,Lime,1 slice ,, ,, ,, ,, ,, ,,,,,,,,,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
Frozen Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,Champagne flute,Light rum,1 1/2 oz ,Triple sec,1 tblsp ,Lime juice,1 1/2 oz ,Sugar,1 tsp ,Cherry,1,Ice,1 cup crushed ,, ,, ,, ,, ,, ,,,,,,,,,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,Old-fashioned glass,Light rum,2 oz ,Lime juice,1 tblsp ,Mint,6,Sugar,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j2mqsb1504736097.jpg,Champagne flute,Light rum,1 1/2 oz ,Pineapple,4 chunks ,Lime juice,1 tblsp ,Sugar,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.
